gamma,lr,hidden_sizes,batch_size,memory_size,seed,eps_decay,steps_to_goal
0.9,0.0001,64-32,128,200000,0,800,200
0.9,0.0001,64-32,128,200000,0,900,200
0.9,0.0001,64-32,128,200000,0,1000,170
0.9,0.0001,64-32,128,200000,0,1100,200
0.9,0.0001,64-32,128,200000,0,1200,200
0.9,0.0001,64-32,128,200000,0,1300,200
0.9,0.0001,64-32,128,200000,0,1400,200
0.9,0.0001,64-32,128,200000,0,1500,200
0.9,0.0001,64-64,32,100000,0,800,200
0.9,0.0001,64-64,32,100000,0,900,200
0.9,0.0001,64-64,32,100000,0,1000,200
0.9,0.0001,64-64,32,100000,0,1100,200
0.9,0.0001,64-64,32,100000,0,1200,155
0.9,0.0001,64-64,32,100000,0,1300,200
0.9,0.0001,64-64,32,100000,0,1400,200
0.9,0.0001,64-64,32,100000,0,1500,200
0.9,0.0001,64-64,32,200000,0,800,200
0.9,0.0001,64-64,32,200000,0,900,200
0.9,0.0001,64-64,32,200000,0,1000,200
0.9,0.0001,64-64,32,200000,0,1100,200
0.9,0.0001,64-64,32,200000,0,1200,200
0.9,0.0001,64-64,32,200000,0,1300,200
0.9,0.0001,64-64,32,200000,0,1400,200
0.9,0.0001,64-64,32,200000,0,1500,200
0.9,0.0001,64-64,64,100000,0,800,200
0.9,0.0001,64-64,64,100000,0,900,120
0.9,0.0001,64-64,64,100000,0,1000,140
0.9,0.0001,64-64,64,100000,0,1100,200
0.9,0.0001,64-64,64,100000,0,1200,115
0.9,0.0001,64-64,64,100000,0,1300,200
0.9,0.0001,64-64,64,100000,0,1400,109
0.9,0.0001,64-64,64,100000,0,1500,200
0.9,0.0001,64-64,64,200000,0,800,200
0.9,0.0001,64-64,64,200000,0,900,200
0.9,0.0001,64-64,64,200000,0,1000,200
0.9,0.0001,64-64,64,200000,0,1100,200
0.9,0.0001,64-64,64,200000,0,1200,200
0.9,0.0001,64-64,64,200000,0,1300,200
0.9,0.0001,64-64,64,200000,0,1400,200
0.9,0.0001,64-64,64,200000,0,1500,200
0.9,0.0001,64-64,128,100000,0,800,200
0.9,0.0001,64-64,128,100000,0,900,200
0.9,0.0001,64-64,128,100000,0,1000,162
0.9,0.0001,64-64,128,100000,0,1100,200
0.9,0.0001,64-64,128,100000,0,1200,200
0.9,0.0001,64-64,128,100000,0,1300,200
0.9,0.0001,64-64,128,100000,0,1400,200
0.9,0.0001,64-64,128,100000,0,1500,200
0.9,0.0001,64-64,128,200000,0,800,200
0.9,0.0001,64-64,128,200000,0,900,115
0.9,0.0001,64-64,128,200000,0,1000,200
0.9,0.0001,64-64,128,200000,0,1100,200
0.9,0.0001,64-64,128,200000,0,1200,200
0.9,0.0001,64-64,128,200000,0,1300,200
0.9,0.0001,64-64,128,200000,0,1400,200
0.9,0.0001,64-64,128,200000,0,1500,200
0.9,0.0001,128-64,32,100000,0,800,200
0.9,0.0001,128-64,32,100000,0,900,200
0.9,0.0001,128-64,32,100000,0,1000,200
0.9,0.0001,128-64,32,100000,0,1100,200
0.9,0.0001,128-64,32,100000,0,1200,200
0.9,0.0001,128-64,32,100000,0,1300,200
0.9,0.0001,128-64,32,100000,0,1400,200
0.9,0.0001,128-64,32,100000,0,1500,200
0.9,0.0001,128-64,32,200000,0,800,200
0.9,0.0001,128-64,32,200000,0,900,200
0.9,0.0001,128-64,32,200000,0,1000,200
0.9,0.0001,128-64,32,200000,0,1100,200
0.9,0.0001,128-64,32,200000,0,1200,200
0.9,0.0001,128-64,32,200000,0,1300,200
0.9,0.0001,128-64,32,200000,0,1400,200
0.9,0.0001,128-64,32,200000,0,1500,200
0.9,0.0001,128-64,64,100000,0,800,170
0.9,0.0001,128-64,64,100000,0,900,200
0.9,0.0001,128-64,64,100000,0,1000,184
0.9,0.0001,128-64,64,100000,0,1100,200
0.9,0.0001,128-64,64,100000,0,1200,200
0.9,0.0001,128-64,64,100000,0,1300,200
0.9,0.0001,128-64,64,100000,0,1400,200
0.9,0.0001,128-64,64,100000,0,1500,200
0.9,0.0001,128-64,64,200000,0,800,200
0.9,0.0001,128-64,64,200000,0,900,200
0.9,0.0001,128-64,64,200000,0,1000,200
0.9,0.0001,128-64,64,200000,0,1100,200
0.9,0.0001,128-64,64,200000,0,1200,200
0.9,0.0001,128-64,64,200000,0,1300,200
0.9,0.0001,128-64,64,200000,0,1400,200
0.9,0.0001,128-64,64,200000,0,1500,200
0.9,0.0001,128-64,128,100000,0,800,200
0.9,0.0001,128-64,128,100000,0,900,200
0.9,0.0001,128-64,128,100000,0,1000,200
0.9,0.0001,128-64,128,100000,0,1100,200
0.9,0.0001,128-64,128,100000,0,1200,200
0.9,0.0001,128-64,128,100000,0,1300,200
0.9,0.0001,128-64,128,100000,0,1400,200
0.9,0.0001,128-64,128,100000,0,1500,200
0.9,0.0001,128-64,128,200000,0,800,200
0.9,0.0001,128-64,128,200000,0,900,200
0.9,0.0001,128-64,128,200000,0,1000,200
0.9,0.0001,128-64,128,200000,0,1100,200
0.9,0.0001,128-64,128,200000,0,1200,200
0.9,0.0001,128-64,128,200000,0,1300,200
0.9,0.0001,128-64,128,200000,0,1400,200
0.9,0.0001,128-64,128,200000,0,1500,200
0.9,1e-05,32-32,32,100000,0,800,200
0.9,1e-05,32-32,32,100000,0,900,200
0.9,1e-05,32-32,32,100000,0,1000,200
0.9,1e-05,32-32,32,100000,0,1100,200
0.9,1e-05,32-32,32,100000,0,1200,200
0.9,1e-05,32-32,32,100000,0,1300,200
0.9,1e-05,32-32,32,100000,0,1400,200
0.9,1e-05,32-32,32,100000,0,1500,200
0.9,1e-05,32-32,32,200000,0,800,200
0.9,1e-05,32-32,32,200000,0,900,200
0.9,1e-05,32-32,32,200000,0,1000,200
0.9,1e-05,32-32,32,200000,0,1100,200
0.9,1e-05,32-32,32,200000,0,1200,200
0.9,1e-05,32-32,32,200000,0,1300,200
0.9,1e-05,32-32,32,200000,0,1400,200
0.9,1e-05,32-32,32,200000,0,1500,200
0.9,1e-05,32-32,64,100000,0,800,200
0.9,1e-05,32-32,64,100000,0,900,200
0.9,1e-05,32-32,64,100000,0,1000,200
0.9,1e-05,32-32,64,100000,0,1100,200
0.9,1e-05,32-32,64,100000,0,1200,200
0.9,1e-05,32-32,64,100000,0,1300,200
0.9,1e-05,32-32,64,100000,0,1400,200
0.9,1e-05,32-32,64,100000,0,1500,200
0.9,1e-05,32-32,64,200000,0,800,200
0.9,1e-05,32-32,64,200000,0,900,200
0.9,1e-05,32-32,64,200000,0,1000,200
0.9,1e-05,32-32,64,200000,0,1100,200
0.9,1e-05,32-32,64,200000,0,1200,200
0.9,1e-05,32-32,64,200000,0,1300,200
0.9,1e-05,32-32,64,200000,0,1400,200
0.9,1e-05,32-32,64,200000,0,1500,200
0.9,1e-05,32-32,128,100000,0,800,200
0.9,1e-05,32-32,128,100000,0,900,200
0.9,1e-05,32-32,128,100000,0,1000,200
0.9,1e-05,32-32,128,100000,0,1100,200
0.9,1e-05,32-32,128,100000,0,1200,200
0.9,1e-05,32-32,128,100000,0,1300,200
0.9,1e-05,32-32,128,100000,0,1400,200
0.9,1e-05,32-32,128,100000,0,1500,200
0.9,1e-05,32-32,128,200000,0,800,200
0.9,1e-05,32-32,128,200000,0,900,200
0.9,1e-05,32-32,128,200000,0,1000,200
0.9,1e-05,32-32,128,200000,0,1100,200
0.9,1e-05,32-32,128,200000,0,1200,200
0.9,1e-05,32-32,128,200000,0,1300,200
0.9,1e-05,32-32,128,200000,0,1400,200
0.9,1e-05,32-32,128,200000,0,1500,200
0.9,1e-05,64-32,32,100000,0,800,200
0.9,1e-05,64-32,32,100000,0,900,200
0.9,1e-05,64-32,32,100000,0,1000,200
0.9,1e-05,64-32,32,100000,0,1100,200
0.9,1e-05,64-32,32,100000,0,1200,200
0.9,1e-05,64-32,32,100000,0,1300,200
0.9,1e-05,64-32,32,100000,0,1400,200
0.9,1e-05,64-32,32,100000,0,1500,200
0.9,1e-05,64-32,32,200000,0,800,200
0.9,1e-05,64-32,32,200000,0,900,200
0.9,1e-05,64-32,32,200000,0,1000,200
0.9,1e-05,64-32,32,200000,0,1100,200
0.9,1e-05,64-32,32,200000,0,1200,200
0.9,1e-05,64-32,32,200000,0,1300,200
